Ratings,#
AAA,22
A+,21
AA,20
AA-,19
A+,18
A,17
A-,16
BBB+,15
BBB,14
BBB-,13
BB+,12
BB,11
BB-,10
B+,9
B,8
B-,7
CCC+,6
CCC,5
CCC-,4
CC,3
C,2
D,1
