X1,X2,X3,X4,Y
-6.98411424488,-1.19662793828,-1.20004912067,-0.785347461597,21
-7.84336708663,-1.79667594591,-0.55440920585,-2.49161204012,16
-7.28816614717,-1.18478408138,-0.361245860653,-0.92019909278,21
-7.51403200396,-1.44906536456,-0.472113462681,-1.10668487018,16
-7.04048370737,-1.04228866695,-0.309422368276,-1.09250353327,21
-7.51255276008,0.395171953338,-3.65609164583,-1.72829510375,21
-8.0547440429,-2.02576221799,-1.0542054698,-2.10743401998,16
-6.29011261888,-1.77695271968,-0.784721163097,-1.50053553222,15
-7.75949569519,-1.54724280369,-0.840337355696,-1.40982022058,20
-6.93112863798,-1.04007423919,-1.18666942809,-1.6554408865,16
-7.59558356033,-2.06000211372,-0.962957126491,-2.47984206756,17
-7.74018701597,-1.76301999137,-1.13662064341,-1.72041436849,17
-7.44878726749,-1.70178457723,-0.753199838974,-2.12321373833,21
